# datas from IGS:http://www.igs.org/network,2019-08-01
# Site                       Lat           Long
ABMF00GLP           16.262306     -61.527531 
ABPO00MDG          -19.018306      47.229212 
ADIS00ETH            9.035134      38.766302 
AGGO00ARG          -34.873708     -58.139861 
AIRA00JPN           31.824061     130.599592 
AJAC00FRA           41.927450       8.762608 
ALBH00CAN           48.389800    -123.487400 
ALGO00CAN           45.958800     -78.071400 
ALIC00AUS          -23.670125     133.885514 
ALRT00CAN           82.494294     -62.340461 
AMC400USA           38.803125    -104.524597 
ANKR00TUR           39.887511      32.758578 
ANMG00MYS            2.784648     101.506602 
ANTC00CHL          -37.338703     -71.532050 
AREG00PER          -16.465423     -71.492904 
AREQ00PER          -16.465517     -71.492797 
ARHT00ATA          -77.829436     166.663653 
ARTU00RUS           56.429822      58.560453 
ARUC00ARM           40.285722      44.085583 
ASCG00SHN           -7.916281     -14.332665 
ASPA00USA          -14.326094    -170.722433 
ATRU00KAZ           47.130881      51.953767 
AUCK00NZL          -36.602800     174.834400 
AZU100USA           34.126017    -117.896486 
BADG00RUS           51.769706     102.234981 
BAIE00CAN           49.186825     -68.263328 
BAKE00CAN           64.317819     -96.002344 
BAKO00IDN           -6.490000     106.850000 
BAMF00CAN           48.835317    -125.135089 
BARH00USA           44.395047     -68.221692 
BELE00BRA           -1.408794     -48.462547 
BHR300BHR           26.209142      50.608144 
BHR400BHR           26.209142      50.608144 
BIK000KGZ           42.854194      74.533194 
BILL00USA           33.578242    -117.064600 
BJCO00BEN            6.384664       2.450022 
BJFS00CHN           39.608625     115.892461 
BJNM00CHN           40.245325     116.224128 
BLYT00USA           33.610414    -114.714850 
BNOA00IDN           -8.746500     115.209917 
BOAV00BRA            2.845181     -60.701114 
BOGI00POL           52.474989      21.035211 
BOGT00COL            4.640073     -74.080940 
BOR100POL           52.276956      17.073458 
BRAZ00BRA          -15.947400     -47.877800 
BREW00USA           48.131524    -119.682634 
BRFT00BRA           -3.877447     -38.425536 
BRMU00GBR           32.370400     -64.696272 
BRST00FRA           48.380497      -4.496600 
BRUN00BRN            4.971178     114.952361 
BRUX00BEL           50.798064       4.358564 
BSHM00ISR           32.779000      35.020000 
BTNG00IDN            1.438922     125.190431 
BUCU00ROU           44.463944      26.125739 
BZRG00ITA           46.499019      11.336792 
CAGS00CAN           45.585000     -75.807300 
CAS100ATA          -66.283400     110.519700 
CCJ200JPN           27.067531     142.195028 
CEBR00ESP           40.453428      -4.367850 
CEDU00AUS          -31.866672     133.809828 
CGGN00NGA           10.123095       9.118312 
CHAN00CHN           43.790500     125.443300 
CHIL00USA           34.333422    -118.025997 
CHOF00JPN           35.674544     139.531057 
CHPG00BRA          -22.682273     -45.002376 
CHPI00BRA          -22.687144     -44.985158 
CHTI00NZL          -43.735475    -176.617114 
CHUM00KAZ           42.998501      74.751100 
CHUR00CAN           58.759100     -94.088700 
CHWK00CAN           49.156600    -122.008400 
CIBG00IDN           -6.490365     106.849174 
CIT100USA           34.136708    -118.127286 
CKIS00COK          -21.200936    -159.800617 
CKSV00TWN           22.998853     120.220008 
CLAR00USA           34.109928    -117.708811 
CMP900USA           34.353181    -118.411425 
CMUM00THA           18.760875      98.932378 
CNMR00USA           15.229697     145.743092 
COCO00AUS          -12.188300      96.833900 
CORD00ARG          -31.528436     -64.470048 
COSO00USA           35.982344    -117.808889 
COTE00ATA          -77.805900     161.997800 
COYQ00CHL          -45.514300     -71.892100 
CPNM00THA           10.724650      99.374378 
CPVG00CPV           16.732062     -22.934933 
CRAO00UKR           44.413261      33.990983 
CRFP00USA           34.039053    -117.099683 
CRO100VIR           17.756900     -64.584319 
CUSV00THA           13.735914     100.533908 
CUT000AUS          -32.003889     115.894800 
CUUT00THA           13.735991     100.533935 
CZTG00ATF          -46.431894      51.855481 
DAE200KOR           36.399425     127.374481 
DAEJ00KOR           36.399400     127.374500 
DAKR00SEN           14.721222     -17.439472 
DARW00AUS          -12.843711     131.132736 
DAV100ATA          -68.577300      77.972600 
DEAR00ZAF          -30.665206      23.992639 
DGAR00GBR           -7.269684      72.370240 
DHLG00USA           33.389806    -115.788028 
DJIG00DJI           11.526288      42.847065 
DLF100NLD           51.986019       4.387458 
DLTV00VNM           11.945000     108.482000 
DRAG00ISR           31.593200      35.392069 
DRAO00CAN           49.322600    -119.625000 
DUBO00CAN           50.258800     -95.866200 
DUMG00ATA          -66.665169     140.002200 
DUND00NZL          -45.883675     170.597175 
DYNG00GRC           38.078553      23.932433 
EBRE00ESP           40.820886       0.492350 
EIL300USA           64.687889    -147.113014 
EIL400USA           64.687889    -147.113014 
EPRT00USA           44.908711     -66.992131 
ESCU00CAN           47.073404     -64.798710 
EUSM00MYS            5.145569     100.494094 
FAA100PYF          -17.555314    -149.614300 
FAIR00USA           64.977998    -147.499240 
FALE00WSM          -13.832200    -171.999500 
FALK00FLK          -51.693652     -57.874067 
FFMJ00DEU           50.090578       8.664964 
FLIN00CAN           54.725600    -101.978000 
FLRS00PRT           39.453844     -31.126389 
FRDN00CAN           45.933000     -66.659000 
FTNA00WLF          -14.307803    -178.120946 
FUNC00PRT           32.647944     -16.907617 
GAMB00PYF          -23.130355    -134.964824 
GAMG00KOR           35.590071     127.919660 
GANP00SVK           49.034714      20.322936 
GCGO00USA           65.639050    -147.842865 
GENO00ITA           44.419400       8.921117 
GLPS00ECU           -0.742999     -90.303669 
GLSV00UKR           50.364178      30.496739 
GMSD00JPN           30.556446     131.015564 
GODE00USA           39.021728     -76.826831 
GODN00USA           39.021167     -76.827083 
GODS00USA           39.034778     -77.386972 
GODZ00USA           39.021728     -76.826828 
GOL200USA           35.425156    -116.889250 
GOLD00USA           35.425156    -116.889250 
GOP600CZE           49.913667      14.785603 
GOP700CZE           49.913667      14.785603 
GOPE00CZE           49.913706      14.785622 
GRAC00FRA           43.754486       6.920761 
GRAS00FRA           43.754739       6.920575 
GRAZ00AUT           47.067100      15.493500 
GUAM00GUM           13.589300     144.868300 
GUAO00CHN           43.471100      87.177300 
GUAT00GTM           14.590403     -90.520183 
GUUG00GUM           13.433208     144.802714 
HAL100USA           20.707506    -156.256194 
HAMD00IRN           34.869083      48.534306 
HARB00ZAF          -25.886962      27.707246 
HERS00GBR           50.867300       0.336200 
HERT00GBR           50.867478       0.334353 
HKSL00HKG           22.372005     113.927981 
HKWS00HKG           22.434282     114.335377 
HLFX00CAN           44.683550     -63.611278 
HNLC00USA           21.303300    -157.864500 
HNPT00USA           38.588817     -76.130372 
HNUS00ZAF          -34.424631      19.223061 
HOB200AUS          -42.804719     147.438733 
HOFN00ISL           64.267292     -15.197925 
HOLB00CAN           50.640400    -128.135000 
HOLM00CAN           70.736400    -117.760900 
HOLP00USA           33.924539    -118.168169 
HRAG00ZAF          -25.890402      27.685180 
HRAO00ZAF          -25.890106      27.686981 
HUEG00DEU           47.833944       7.596167 
HYDE00IND           17.417256      78.550867 
IENG00ITA           45.015133       7.639406 
IISC00IND           13.021166      77.570376 
INEG00MEX           21.856153    -102.284203 
INVK00CAN           68.306200    -133.527000 
IQAL00CAN           63.755964     -68.510497 
IQQE00CHL          -20.273542     -70.131717 
IRKJ00RUS           52.219019     104.316178 
IRKM00RUS           52.219024     104.316240 
IRKT00RUS           52.219000     104.316200 
ISBA00IRQ           33.341414      44.438403 
ISHI00JPN           36.208833     140.218956 
ISPA00CHL          -27.124983    -109.344410 
ISTA00TUR           41.104447      29.019339 
IZMI00TUR           38.394808      27.081822 
JCTW00ZAF          -33.951433      18.468550 
JFNG00CHN           30.515565     114.491019 
JNAV00VNM           21.004585     105.843947 
JOG200IDN           -7.763814     110.372464 
JOZ200POL           52.097831      21.032342 
JOZE00POL           52.097272      21.031533 
JPLM00USA           34.204819    -118.173225 
JPRE00ZAF          -25.732025      28.282633 
KARR00AUS          -20.981436     117.097186 
KAT100AUS          -14.376008     132.153269 
KERG00ATF          -49.351467      70.255524 
KGNI00JPN           35.710342     139.488122 
KHAR00UKR           50.005103      36.239008 
KIR000SWE           67.877572      21.060233 
KIR800SWE           67.877542      21.060178 
KIRI00KIR            1.354581     172.922897 
KIRU00SWE           67.857300      20.968400 
KIT300UZB           39.134767      66.885450 
KITG00UZB           39.133386      66.886738 
KMNM00TWN           24.463822     118.388578 
KOKB00USA           22.126264    -159.664930 
KOKV00USA           22.126264    -159.664930 
KOS100NLD           52.173356       5.818225 
KOST00KAZ           53.224558      63.608103 
KOUC00NCL          -20.558697     164.287333 
KOUG00GUF            5.098471     -52.639750 
KOUR00GUF            5.252200     -52.806000 
KRGG00ATF          -49.351543      70.255506 
KRS100TUR           40.588453      43.093444 
KSMV00JPN           35.955372     140.657675 
KZN200RUS           55.790783      49.119244 
LAE100PNG           -6.673700     146.993200 
LAMA00POL           53.892400      20.669933 
LAUT00FJI          -17.608806     177.446583 
