# Sta         Lat(deg)    Long(deg)
00NA        -12.47      130.84 
01NA        -12.48      130.98 
02NA        -12.36      130.88 
0BIS        57.73       11.89 
0BOD        57.25       17.06 
0MOS        59.32       18.07 
0OKC        57.25       16.47 
0SKN        55.41       12.86 
0SVI        57.08       16.86 
0VIK        56.15       12.58 
1LSU        30.41       268.82 
1NSU        31.75       266.90 
1ULM        32.53       267.92 
20NA        -23.70      133.88 
21NA        -23.77      133.88 
25MA        -37.77      292.28 
299C        64.03       217.92 
2TRY        -33.77      151.12 
30NA        -23.70      133.88 
31NA        -23.77      133.88 
34A1        41.84       240.35 
34A2        41.85       240.39 
34A3        41.85       240.42 
34A4        41.87       240.51 
34NO        41.93       240.29 
34SO        41.81       240.29 
3ARO        -38.38      299.73 
3CAN        40.61       356.30 
3RIV        46.31       287.42 
3RV2        46.32       287.43 
489F        59.97       223.18 
4CDA        -28.24      153.56 
4COO        -27.49      153.05 
4CRN        -16.95      145.74 
4GLD        -23.84      151.24 
4HLN        -27.92      153.34 
4HVB        -25.30      152.81 
4MC0        -26.66      153.03 
4MCK        -21.12      149.16 
4VIR        -27.38      153.06 
4WCK        -27.05      150.96 
4YAT        -27.73      153.22 
59WE        33.43       247.82 
5LIT        -35.05      138.87 
5MEN        -35.69      139.34 
5PTS        36.43       239.74 
7OAK        37.60       245.24 
7ODM        34.12       242.91 
A351        -72.91      74.91 
A368        -74.29      66.79 
A770        -24.16      151.89 
AA03        8.33        80.41 
AA04        9.70        80.03 
AA05        8.57        81.23 
AA07        7.72        81.70 
AA08        6.41        81.33 
AA09        5.96        80.54 
AACR        9.94        275.88 
AARS        50.96       4.84 
AASI        68.72       307.21 
AAUC        57.01       9.99 
AB01        52.21       185.80 
AB02        52.97       191.15 
AB04        63.66       189.43 
AB06        54.89       196.58 
AB07        55.35       199.52 
AB08        60.38       193.80 
AB09        65.62       191.94 
AB11        64.56       194.63 
AB12        58.95       198.25 
AB13        56.31       201.50 
AB14        59.11       200.91 
AB15        61.04       200.12 
AB17        63.89       199.31 
AB18        66.86       197.39 
AB21        51.86       183.34 
AB22        59.90       205.30 
AB25        62.93       203.98 
AB27        67.06       203.10 
AB28        62.09       207.19 
AB33        67.25       209.83 
AB35        60.08       217.61 
AB36        65.03       209.26 
AB37        62.97       214.55 
AB39        66.56       214.79 
AB41        64.78       218.84 
AB42        59.34       221.10 
AB43        58.20       223.36 
AB44        59.53       224.77 
AB45        68.76       211.13 
AB46        68.12       214.43 
AB48        56.25       225.35 
AB49        55.58       226.93 
AB50        58.42       225.45 
AB51        56.80       227.09 
AB53        56.58       227.13 
ABAD        51.29       246.00 
ABAN        38.18       358.95 
ABAR        -33.00      137.16 
ABAS        54.33       245.23 
ABAZ        56.47       248.81 
ABBI        57.33       248.26 
ABBR        53.25       245.02 
ABBZ        -77.46      166.91 
ABCA        50.96       246.00 
ABCC        4.66        285.87 
ABCH        50.02       246.43 
ABCM        51.09       244.64 
ABCO        51.19       245.53 
ABCR        53.02       247.18 
ABD0        16.47       298.51 
ABE1        16.47       298.49 
ABED        57.13       357.84 
ABEM        53.56       246.40 
ABEN        53.57       246.39 
ABEP        52.14       355.43 
ABER        57.14       357.92 
ABFM        56.71       248.65 
ABGP        55.15       241.17 
ABGS        0.22        99.39 
ABHR        50.58       246.13 
ABHV        50.58       246.13 
ABIU        46.08       23.57 
ABL1        32.45       260.27 
ABLB        54.77       248.05 
ABLD        53.26       246.47 
ABLT        49.71       247.16 
ABMF        16.26       298.47 
ABMH        50.02       249.30 
ABMK        57.17       248.40 
ABMN        51.66       247.23 
ABMO        53.80       246.35 
ABMR        51.66       247.23 
ABNA        53.57       246.50 
ABNC        51.06       245.91 
ABNY        -35.03      117.89 
ABOK        50.73       246.02 
ABOL        51.79       245.89 
ABOO        8.99        37.81 
ABPD        4.48        285.90 
ABPE        53.67       244.01 
ABPO        -19.02      47.23 
ABPR        56.23       242.66 
